,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values
cols,cep_prefixo,coordenadas,data,datetime,frete,hora,prazo,preco,product_category_name,product_description_lenght,product_height_cm,product_id,product_id_off,product_length_cm,product_name_lenght,product_photos_qty,product_weight_g,product_width_cm,purchase_id,visit_id
index,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6914260279307851,1.6914260279307851,0.005563901407667056,0.0,82.72965003060145,0.005563901407667056,1.6914260279307851,1.6914260279307851,0.005563901407667056,0.005563901407667056,82.72965003060145,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71342383107089,1.71342383107089,0.0,0.0,86.52187028657616,0.0,1.71342383107089,1.71342383107089,0.0,0.0,86.52187028657616,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.789427257261672,1.789427257261672,0.0063008002016256065,0.0,83.78174028101569,0.0063008002016256065,1.789427257261672,1.789427257261672,0.0063008002016256065,0.0063008002016256065,83.78174028101569,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.721556886227545,1.721556886227545,0.0062375249500997995,0.0,82.37899201596807,0.0062375249500997995,1.721556886227545,1.721556886227545,0.0062375249500997995,0.0062375249500997995,82.37899201596807,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8568082970893276,1.8568082970893276,0.011152001784320286,0.0,83.77383740381399,0.011152001784320286,1.8568082970893276,1.8568082970893276,0.011152001784320286,0.011152001784320286,83.77383740381399,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7365016872890888,1.7365016872890888,0.0,0.0,85.67210348706412,0.0,1.7365016872890888,1.7365016872890888,0.0,0.0,85.67210348706412,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9913311137634275,1.9913311137634275,0.0062818016207048175,0.0,85.31942961241285,0.0062818016207048175,1.9913311137634275,1.9913311137634275,0.0062818016207048175,0.0062818016207048175,85.31942961241285,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7802056555269923,1.7802056555269923,0.006426735218508997,0.0,81.9922879177378,0.006426735218508997,1.7802056555269923,1.7802056555269923,0.006426735218508997,0.006426735218508997,81.9922879177378,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.588639605758008,1.588639605758008,0.0,0.0,81.68201270911685,0.0,1.588639605758008,1.588639605758008,0.0,0.0,81.68201270911685,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9200304163234267,1.9200304163234267,0.012673468094544072,0.0,85.40650148913251,0.012673468094544072,1.9200304163234267,1.9200304163234267,0.012673468094544072,0.012673468094544072,85.40650148913251,0.0
